brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,Touchscreen,msoffice,rating,Price
DELL,Intel,Core i3,11,4,DDR4,0,1024,Windows,0,No,No,3,43970
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,0,No,No,3,39790
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,35590
HP,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,Yes,3,36490
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,Yes,4,38990
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,33990
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,Yes,4,43400
ASUS,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,4,24990
HP,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,Yes,4,40750
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,Yes,4,43000
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,4,38000
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,Yes,3,37990
HP,Intel,Core i3,7,8,DDR4,0,1024,Windows,2,No,No,4,49279
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,0,No,No,3,38999
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,No,3,41500
acer,Intel,Core i3,11,4,DDR4,0,1024,Windows,0,No,No,3,36999
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,No,3,42900
ASUS,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,3,21490
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,No,3,41480
ASUS,Intel,Core i3,10,8,DDR4,0,1024,Windows,0,No,No,2,32990
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,No,3,38680
ASUS,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,4,23990
DELL,Intel,Core i3,10,8,DDR4,0,1024,Windows,0,No,No,3,40390
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,33990
ASUS,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,3,20490
DELL,Intel,Core i3,10,8,DDR4,256,1024,Windows,0,No,Yes,5,41490
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,0,No,No,4,45490
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,0,No,No,4,44490
ASUS,Intel,Core i3,11,8,DDR4,256,1024,Windows,0,No,Yes,4,41890
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,0,No,Yes,4,42990
acer,Intel,Core i3,11,8,DDR4,256,1024,Windows,0,No,No,4,40990
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,0,No,No,4,48990
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,0,No,Yes,3,43590
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,0,No,No,4,44690
